InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,PrimaryPositionPlayer,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,TB,TotalPlayerAwards,LastYearPlayed,ID
FALSE,FALSE,Jason Grilli,0,15,15,1,3,0,0,1,3,0,0.200,0.400,1,6,2,2017,grillja01
FALSE,FALSE,Elmer Singleton,0,8,68,3,9,1,1,0,4,0,0.132,0.176,0,12,0,1959,singlel01
FALSE,FALSE,Chad Tracy,1,9,2706,317,741,172,9,86,358,11,0.274,0.439,0,1189,0,2013,tracych01
FALSE,FALSE,Matt Batts,1,10,1605,163,432,95,11,26,220,6,0.269,0.391,0,627,0,1956,battsma01
FALSE,FALSE,Nestor Cortes,0,7,1,0,0,0,0,0,0,0,0.000,0.000,1,0,0,2024,cortene01
FALSE,FALSE,Seth Mejias-Brean,1,1,30,3,7,2,0,2,5,0,0.233,0.500,0,15,0,2019,mejiase01
FALSE,FALSE,Jackie Tobin,1,1,278,25,70,6,2,0,21,2,0.252,0.288,0,80,0,1945,tobinjo02
FALSE,FALSE,Jackson Jobe,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2024,jobeja01
FALSE,FALSE,Williams Perez,0,2,45,2,2,0,0,0,0,0,0.044,0.044,0,2,0,2016,perezwi01
FALSE,FALSE,Tim Wood,0,3,2,0,1,0,0,0,0,0,0.500,0.500,0,1,0,2011,woodti01
FALSE,FALSE,Bill Brandt,0,3,15,1,2,0,0,0,0,0,0.133,0.133,0,2,0,1943,brandbi01
FALSE,FALSE,Dave Burba,0,15,194,10,26,1,0,3,12,0,0.134,0.186,0,36,0,2004,burbada01
FALSE,FALSE,Billy Conigliaro,1,5,1130,142,289,56,10,40,128,9,0.256,0.429,0,485,0,1973,conigbi01
FALSE,FALSE,Jerry Don Gleaton,0,12,2,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1992,gleatje01
FALSE,FALSE,Pep Goodwin,1,2,603,60,142,20,7,1,48,10,0.235,0.297,0,179,0,1915,goodwpe01
FALSE,FALSE,Jim Hamby,1,2,55,6,10,0,1,0,5,1,0.182,0.218,0,12,0,1927,hambyji01
FALSE,FALSE,Gordon Jones,0,11,67,2,8,1,0,0,4,0,0.119,0.134,0,9,0,1965,jonesgo01
FALSE,FALSE,Pat Kelly,1,1,7,0,2,0,0,0,0,0,0.286,0.286,0,2,0,1980,kellypa02
FALSE,FALSE,Phil Leftwich,0,3,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1996,leftwph01
FALSE,FALSE,Art McCoy,1,1,6,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1889,mccoyar01
FALSE,FALSE,Reggie Otero,1,1,23,1,9,0,0,0,5,0,0.391,0.391,0,9,0,1945,oterore01
FALSE,FALSE,George Springer,1,11,5057,876,1326,222,22,261,712,102,0.262,0.470,4,2375,11,2024,springe01
FALSE,FALSE,Adam Kennedy,1,14,5473,682,1488,288,42,80,571,179,0.272,0.384,0,2100,2,2012,kennead01
FALSE,FALSE,Phil Ketter,1,1,6,1,2,0,0,0,0,0,0.333,0.333,0,2,0,1912,ketteph01
FALSE,FALSE,Art Reinhart,0,5,186,25,56,5,3,0,19,1,0.301,0.360,0,67,0,1928,reinhar01
FALSE,FALSE,Dave Rohde,1,3,146,11,23,4,0,0,5,0,0.158,0.185,0,27,0,1992,rohdeda01
FALSE,FALSE,Mike Vento,1,2,20,3,5,1,0,0,1,0,0.250,0.300,0,6,0,2006,ventomi01
FALSE,FALSE,Raul Casanova,1,9,1081,98,255,40,5,35,130,2,0.236,0.379,0,410,0,2008,casanra01
FALSE,FALSE,Ralph Garcia,0,2,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1974,garcira02
FALSE,FALSE,George Heubel,1,3,102,20,26,4,2,0,14,1,0.255,0.333,0,34,0,1876,heubege01
FALSE,FALSE,Kevin Hodges,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2000,hodgeke01
FALSE,FALSE,Kevin Kelly,0,2,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2024,kellyke02
FALSE,FALSE,Roberto Osuna,0,6,0,0,0,0,0,0,0,0,0.000,0.000,1,0,1,2020,osunaro01
FALSE,FALSE,Adam Peterson,0,5,13,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1991,peterad01
FALSE,FALSE,Jake Pitler,1,2,383,40,89,8,5,0,23,8,0.232,0.279,0,107,0,1918,pitleja01
FALSE,FALSE,Jackie Sullivan,1,1,1,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1944,sullija01
FALSE,FALSE,Vin Mazzaro,0,8,18,0,3,0,0,0,1,0,0.167,0.167,0,3,0,2016,mazzavi01
FALSE,FALSE,Bill Conroy,1,1,60,6,8,2,2,0,2,0,0.133,0.233,0,14,0,1923,conrobi01
FALSE,FALSE,Mark Funderburk,1,2,85,9,25,8,1,2,15,0,0.294,0.482,0,41,0,1985,fundema01
FALSE,FALSE,Otto Krueger,1,7,1704,230,427,40,33,5,196,48,0.251,0.322,0,548,0,1905,kruegot01
FALSE,FALSE,John Menefee,1,9,685,74,152,16,7,0,57,14,0.222,0.266,0,182,0,1903,menefjo01
