InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,TotalPlayerAwards,LastYearPlayed,ID
FALSE,FALSE,Tommie Aaron,7,944,102,216,42,6,13,94,9,.229,.327,0,0,0,0,0,309,0,1971,aaronto01
FALSE,FALSE,John Abadie,1,49,4,11,0,0,0,5,1,.224,.224,0,0,0,0,0,11,0,1875,abadijo01
FALSE,FALSE,Fred Abbott,3,513,48,107,21,6,1,49,14,.209,.279,0,0,0,0,0,143,0,1905,abbotfr01
FALSE,FALSE,Jeff Abbott,5,596,82,157,33,2,18,83,6,.263,.416,0,0,0,0,0,248,0,2001,abbotje01
FALSE,FALSE,Kurt Abbott,9,2044,273,523,109,23,62,242,22,.256,.423,0,0,0,0,0,864,0,2001,abbotku01
FALSE,FALSE,Shawn Abner,6,840,89,191,39,4,11,71,6,.227,.323,0,0,0,0,0,271,0,1992,abnersh01
FALSE,FALSE,Cal Abrams,8,1611,257,433,64,19,32,138,12,.269,.392,0,0,0,0,0,631,0,1956,abramca01
FALSE,FALSE,Dustin Ackley,6,2125,261,512,94,18,46,216,31,.241,.367,0,0,0,0,0,780,0,2016,ackledu01
FALSE,FALSE,Cristhian Adames,5,328,32,70,9,4,2,22,2,.213,.284,0,0,0,0,0,93,0,2019,adamecr01
FALSE,TRUE,Bobby Adams,14,4019,591,1082,188,49,37,303,67,.269,.368,0,0,0,0,0,1479,0,1959,adamsbo03
FALSE,FALSE,Bob Adams,1,24,2,6,1,0,2,2,0,.250,.542,0,0,0,0,0,13,0,1977,adamsbo04
FALSE,FALSE,Buster Adams,6,2003,282,532,96,12,50,249,12,.266,.400,0,0,0,0,0,802,0,1947,adamsbu01
